Id,Budget Year Type,Budget Year,Page Number from PDF Document,Sheet No printed on the bottom of PDF page,Account Type,CAPS,Deferred Charges Ind,Department,Division,Program,Program Details,Line Item Id from PDF,Line Item,Line Item Details,Line Item (original),FCOA,Appropriated – CY 2013,Appropriated – CY 2012,Appropriated – CY 2012 By Emerg. Approp.,Appropriated – Total CY 2012 Modified By Trans.,Expended CY 2013 – Paid or Charged,Expended CY 2012 – Reserved
1,CY,2013,34,12,Appropriation,Within “CAPS”,Deferred Charges - No,MAYOR'S OFFICE,MAYOR'S OFFICE,OPERATIONS,SALARIES AND WAGES,100,Salaries & Wages,,100 – Salaries & Wages,20-110-1,1010000,938027,,"938,027",883858,54169
2,CY,2013,34,12,Appropriation,Within “CAPS”,Deferred Charges - No,MAYOR'S OFFICE,MAYOR'S OFFICE,OPERATIONS,OTHER EXPENSES,101,Other Expenses,,101 – Other Expenses,20-110-2,19560,19650,,"19,650",11132,8518
3,CY,2013,34,12,Appropriation,Within “CAPS”,Deferred Charges - No,OFFICE OF THE CITY CLERK,OFFICE OF THE CITY CLERK,OPERATIONS,SALARIES AND WAGES,200,Salaries & Wages,,200 – Salaries & Wages,20-120-1,822392,822392,,"822,392",811642,10750
4,CY,2013,34,12,Appropriation,Within “CAPS”,Deferred Charges - No,OFFICE OF THE CITY CLERK,OFFICE OF THE CITY CLERK,OPERATIONS,OTHER EXPENSES,201,Other Expenses,,201 – Other Expenses,20-120-2,96600,96600,,"96,600",83639,12961
5,CY,2013,34,12,Appropriation,Within “CAPS”,Deferred Charges - No,OFFICE OF THE CITY CLERK,OFFICE OF THE CITY CLERK,OPERATIONS,ELECTION,202,General & Primary Election,,202 – General & Primary Election,20-120-2,100000,100000,,"100,000",91774,8226
6,CY,2013,34,12,Appropriation,Within “CAPS”,Deferred Charges - No,OFFICE OF THE CITY CLERK,OFFICE OF THE CITY CLERK,OPERATIONS,ELECTION,203,Municipal Election,,203 – Municipal Election,20-120-2,750000,0,,0,0,0
7,CY,2013,34,12,Appropriation,Within “CAPS”,Deferred Charges - No,MUNICIPAL COUNCIL,MUNICIPAL COUNCIL,OPERATIONS,SALARIES AND WAGES,210,Salaries & Wages,,210 – Salaries & Wages,20-123-1,584200,584200,,"584,200",574500,9700
8,CY,2013,34,12,Appropriation,Within “CAPS”,Deferred Charges - No,MUNICIPAL COUNCIL,MUNICIPAL COUNCIL,OPERATIONS,OTHER EXPENSES,211,Other Expenses,,211 – Other Expenses,20-123-2,89000,79250,,"79,250",75521,3729
9,CY,2013,34,12,Appropriation,Within “CAPS”,Deferred Charges - No,CITY CLERK & MUNICIPAL COUNCIL,ANNUAL AUDIT – Other Expenses,OPERATIONS,OTHER EXPENSES,,Other Expenses,ANNUAL AUDIT,ANNUAL AUDIT – 214 – Other Expenses,20-135-2,350000,360000,,"350,000",350000,0
10,CY,2013,35,13,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,ADMINISTRATOR'S OFFICE,OPERATIONS,SALARIES AND WAGES,250,Salaries & Wages,,250 – Salaries & Wages,20-100-1,1558105,1511911,,"1,511,911",1511490,421
11,CY,2013,35,13,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,ADMINISTRATOR'S OFFICE,OPERATIONS,OTHER EXPENSES,251,Other Expenses,,251 – Other Expenses,20-100-2,87000,88200,,"78,200",70254,7946
12,CY,2013,35,13,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,MANAGEMENT & BUDGET,OPERATIONS,SALARIES AND WAGES,255,Salaries & Wages,,255 – Salaries & Wages,20-101-1,508619,492463,,"492,463",480909,11554
13,CY,2013,35,13,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,MANAGEMENT & BUDGET,OPERATIONS,OTHER EXPENSES,256,Other Expenses,,256 – Other Expenses,20-101-2,315700,321350,,"291,350",286125,5225
14,CY,2013,35,13,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,PURCHASING & CENTRAL SERVICES,OPERATIONS,SALARIES AND WAGES,260,Salaries & Wages,,260 – Salaries & Wages,20-102-1,656000,621674,,"621,674",617707,3967
15,CY,2013,35,13,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,PURCHASING & CENTRAL SERVICES,OPERATIONS,OTHER EXPENSES,261,Other Expenses,,261 – Other Expenses,20-102-2,46750,45550,,"59,450",43015,16435
16,CY,2013,35,13,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,REAL ESTATE,OPERATIONS,SALARIES AND WAGES,272,Salaries & Wages,,272 – Salaries & Wages,20-103-1,167011,167161,,"167,161",166395,766
17,CY,2013,35,13,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,REAL ESTATE,OPERATIONS,OTHER EXPENSES,273,Other Expenses,,273 – Other Expenses,20-03-2,10600,10600,,"10,600",9561,1039
18,CY,2013,36,14,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,RISK MANAGEMENT,OPERATIONS,SALARIES AND WAGES,294,Salaries & Wages,,294 – Salaries & Wages,20-109-1,241270,241270,,"241,270",232835,8435
19,CY,2013,36,14,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,RISK MANAGEMENT,OPERATIONS,OTHER EXPENSES,295,Other Expenses,,295 – Other Expenses,20-109-2,4525,4525,,"4,525",3194,1331
20,CY,2013,36,14,Appropriation,Within “CAPS”,Deferred Charges - No,DEPARTMENT OF BUSINESS ADMINISTRATION,INFORMATION TECHNOLOGY,OPERATIONS,SALARIES AND WAGES,298,Salaries & Wages,,298 – Salaries & Wages,20-140-1,950600,950600,,"950,600",923335,27265
